MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366972910,2020-01-01T00:00:07,30.25460,-88.55838,5.4,270.0,511.0,T CLAUDE DEVALL,,WYU9725,31,0,15,6,,31,A
366995990,2020-01-01T00:00:00,26.85006,-97.46643,0.0,101.1,183.0,W C BINION JR,,WDC2649,31,0,20,7,,57,A
565807000,2020-01-01T00:00:00,32.31175,-117.53433,14.7,162.1,163.0,NYK CLARA,IMO9355408,9VFW9,70,0,210,30,11.5,72,A
367702220,2020-01-01T00:00:11,30.16622,-90.99981,0.0,261.1,333.0,JOE B WARD,,WDI4808,31,12,21,8,,,A
564923000,2020-01-01T00:00:11,18.19367,-65.00856,0.9,292.6,353.0,EPIC CALEDONIA,IMO9698290,9V2516,80,0,95,15,5.5,,A
636015345,2020-01-01T00:00:13,30.07814,-90.90360,0.0,164.4,330.0,ANARITA,IMO9636008,D5AB7,70,1,189,32,12.8,70,A
367767460,2020-01-01T00:00:06,27.83485,-97.41125,0.7,178.9,511.0,DEBBIE B,,WDJ3380,,15,,,,,A
366926740,2020-01-01T00:00:03,33.76830,-118.21925,1.6,63.1,337.0,TIM QUIGG,IMO8987917,WDB6570,31,0,24,9,4.0,52,A
367578830,2020-01-01T00:00:06,29.67100,-91.13424,0.1,223.8,511.0,CAPTAIN SAM,IMO8984587,WDG8563,31,0,21,8,,18,A
316003663,2020-01-01T00:00:05,49.31162,-123.10687,0.0,247.0,187.0,SEASPAN CORSAIR,IMO7434779,CZ6447,31,0,25,7,3.9,,A
316032594,2020-01-01T00:00:05,43.63342,-79.39460,0.0,360.0,511.0,IRON GUPPY,,,,8,,,,,A
316001101,2020-01-01T00:00:03,42.95670,-82.42530,4.4,30.5,30.0,LEONARD M,IMO8519215,VOJM,31,0,33,11,4.1,,A
367637740,2020-01-01T00:00:02,31.77043,-88.16053,0.0,125.3,151.0,COOPER DEVALL,,WDH6418,31,0,19,,,,A
367692120,2020-01-01T00:00:07,29.78501,-95.07061,3.3,39.1,36.0,KATHLEEN DUPRE,,WDI3806,31,0,22,,,,A
316020342,2020-01-01T00:00:06,36.23685,-75.46417,5.9,167.5,511.0,BALAENA,,,,,,,,,B
367437420,2020-01-01T00:00:01,33.63477,-88.49861,6.3,1.3,3.0,CAPTAIN EARL DEVALL,,WDF3224,31,5,20,7,,31,A
367660250,2020-01-01T00:00:10,29.81216,-93.99469,7.3,223.5,219.0,INDEPENDENCE,,WDH8658,31,0,23,,,,A
366934770,2020-01-01T00:00:01,42.04638,-124.26578,0.1,14.6,511.0,NOAH'S ARK,IMO8938954,WDH9179,30,15,22,6,,,A
367171050,2020-01-01T00:00:11,30.51391,-91.22446,0.0,234.8,511.0,GEORGE E MARBLE,,WDD6300,31,0,15,6,,52,A
367459570,2020-01-01T00:00:06,40.76567,-73.84267,0.0,245.4,70.0,CORAL COAST,IMO7205087,WDF5120,31,0,34,9,3.9,52,A
367129530,2020-01-01T00:00:06,39.94321,-75.14010,0.0,264.0,511.0,PENROSE,IMO8993758,WDH8517,31,0,17,7,,52,A
367003210,2020-01-01T00:00:07,32.79593,-88.06754,0.0,233.5,159.0,ALBERT,,WDF2414,31,12,24,8,,57,A
367592640,2020-01-01T00:00:06,29.84857,-90.06192,5.5,162.2,511.0,CAPT CJ,,WDG9929,31,0,21,,,,A
367630670,2020-01-01T00:00:07,48.00254,-122.22244,0.0,30.8,511.0,CAPE FAIRWEATHER,,WDH5711,37,,14,,,,B
367484260,2020-01-01T00:00:03,28.89654,-95.40251,0.0,208.9,55.0,SAVAGE HERITAGE,,WDF7414,31,0,25,10,,,A
351298000,2020-01-01T00:00:02,47.90443,-125.61734,2.3,274.0,260.0,DAIO EXCELSIOR,IMO9132959,3FLO7,70,0,199,32,11.3,,A
367663890,2020-01-01T00:00:08,29.99482,-93.91113,0.0,277.8,50.0,SEBASTIAN D,,WDH9021,31,0,25,,,,A
367644790,2020-01-01T00:00:00,30.27564,-91.15913,0.0,50.4,275.0,D'ANDRE FORWARD,,WDH7100,31,12,23,,,,A
316018605,2020-01-01T00:00:03,49.21633,-122.79769,3.7,276.8,511.0,HARKEN NO 5,,,32,,,,,,B
366998510,2020-01-01T00:00:01,37.82208,-122.31200,0.0,222.6,283.0,LIBERTY,IMO7717626,WDC2845,31,0,29,9,3.9,31,A
367561870,2020-01-01T00:00:06,29.76328,-95.10980,0.0,300.5,278.0,SAVAGE DESTINY,,WDG6904,31,0,25,,,,A
367063980,2020-01-01T00:00:07,29.82157,-93.33974,0.0,162.9,511.0,SALLY B,,WDI7864,90,0,29,7,,60,A
367533290,2020-01-01T00:00:07,33.73451,-118.27071,0.0,280.4,511.0,MARIE CHERAMIE,IMO8964862,WDG4131,90,0,49,13,3.1,70,A
316001731,2020-01-01T00:00:07,49.15517,-123.00660,0.1,14.8,63.0,ALISON NICOLE I,IMO7406681,CFC6672,31,0,22,7,2.9,32,A
367761610,2020-01-01T00:00:11,29.04284,-95.64233,0.0,360.0,511.0,SERGEANT,,WDJ2776,31,0,7,,,,A
367120020,2020-01-01T00:00:13,36.97102,-76.41535,0.0,219.0,511.0,IAN NIGEL,IMO8132677,WDD2795,30,,24,7,,,B
367343230,2020-01-01T00:00:00,26.08246,-80.11612,0.0,198.0,267.0,ST JOHNS,IMO9188180,WCY2315,31,0,27,15,1.6,52,A
367656420,2020-01-01T00:00:07,29.96766,-93.86032,0.0,54.0,511.0,PINTO,,WDH8273,31,12,18,6,,,A
367475080,2020-01-01T00:00:04,40.62958,-80.42928,4.2,48.3,45.0,TENSAS,,WDF6517,31,0,24,9,,31,A
367561330,2020-01-01T00:00:02,41.29776,-71.57988,10.5,87.7,511.0,NORTHEAST PILOT I,,WDG6849,60,15,16,,,,A
367597640,2020-01-01T00:00:02,40.80206,-73.88490,0.1,95.0,106.0,PORT RICHMOND,IMO9648051,WDH2442,90,0,88,21,4.6,,A
367006570,2020-01-01T00:00:07,40.64158,-74.12054,0.0,215.6,159.0,ELLEN S BOUCHARD,IMO8117952,WRA5918,31,0,34,10,4.5,57,A
316013198,2020-01-01T00:00:02,49.20584,-123.09036,0.0,286.5,511.0,NITA MARIA,,CZ3954,,0,19,6,2.6,,A
367140820,2020-01-01T00:00:00,37.04439,-89.30173,5.0,125.6,123.0,TOM BEHRINGER,,WDD4149,31,12,39,12,,31,A
367018620,2020-01-01T00:00:01,53.87941,-166.55180,0.1,284.5,511.0,SEABROOKE,IMO7908237,WDC4069,30,0,33,9,3.5,30,A
316001687,2020-01-01T00:00:03,42.91083,-79.24361,2.9,190.3,192.0,ALGOMA ENTERPRISE,IMO7726677,VCJM,70,0,222,23,9.2,,A
367654050,2020-01-01T00:00:08,36.99897,-89.16050,0.0,360.0,511.0,GENE CASPER,,WDH8038,31,0,20,,,,A
311931000,2020-01-01T00:00:21,29.83378,-89.99670,0.1,141.0,25.0,ARTEMIS,IMO9291640,C6UI8,80,1,186,32,13.0,80,A
367670180,2020-01-01T00:00:17,26.70207,-80.04514,0.0,306.6,511.0,SASHAY,,WDH9647,37,,31,,,,B
367471930,2020-01-01T00:00:02,39.62126,-80.87707,0.0,360.0,511.0,BETTY LOU,,WDH8114,31,0,14,6,,,A
338643000,2020-01-01T00:00:04,47.63529,-122.32906,0.0,84.3,127.0,VAERDAL,IMO7947685,WDF6582,30,0,33,9,,30,A
367046890,2020-01-01T00:00:06,46.16772,-123.91443,0.0,304.7,511.0,PACIFIC FUTURE,IMO7948316,WDC5819,30,7,21,6,,,A
316026695,2020-01-01T00:00:06,46.46953,-84.28782,4.8,331.2,332.0,CSL WELLAND,IMO9665279,CFK5151,70,0,225,23,9.0,,A
367028790,2020-01-01T00:00:08,30.20171,-93.32386,0.0,106.6,511.0,CAPT KENT,,WCY6347,31,5,17,7,,52,A
431127000,2020-01-01T00:00:10,31.83374,-130.24586,10.1,110.5,104.0,NOBLE SALUTE,IMO9602734,7JSP,70,0,234,38,14.5,79,A
367353110,2020-01-01T00:00:06,38.88152,-125.11968,13.7,336.0,336.0,PELICAN STATE,IMO9408102,WDE4433,80,0,183,32,12.8,80,A
367130910,2020-01-01T00:00:04,41.45560,-70.59939,0.2,264.7,83.0,ISLAND HOME,IMO9410478,WDD3413,60,0,77,19,3.3,,A
367302380,2020-01-01T00:00:00,30.01945,-93.98045,0.0,246.8,109.0,HOUSTON,,WDD8755,31,0,23,10,,57,A
316011504,2020-01-01T00:00:07,49.19533,-122.90733,0.0,304.1,158.0,SEASPAN PUSHER,IMO8744688,CFG582,31,0,30,8,5.1,90,A
367015830,2020-01-01T00:00:06,36.33785,-89.56761,3.0,99.2,511.0,ARLENE,IMO8991061,WDF2437,31,12,37,10,,,A
367703060,2020-01-01T00:00:05,38.91714,-82.12419,0.0,360.0,511.0,FRED R SHEDD,,WDI4885,31,0,15,,,,A
367595710,2020-01-01T00:00:09,29.32390,-94.78334,0.0,152.0,511.0,CAPT TREY,IMO9264623,WDH2249,90,0,44,10,3.0,79,A
367702520,2020-01-01T00:00:11,30.15893,-90.99766,0.0,240.2,346.0,SAFETY RUNNER,,WDI4835,31,12,21,8,,31,A
367013060,2020-01-01T00:00:12,47.67404,-122.20936,0.0,360.0,511.0,LADY MARY,,WCY4834,60,5,26,7,,,A
367685950,2020-01-01T00:00:08,29.90588,-90.11905,0.0,54.1,283.0,CATHERINE MAUREEN,,WDI3210,31,0,29,,,,A
367004510,2020-01-01T00:00:06,29.97512,-90.39851,1.8,354.2,156.0,BAYOU BLACK,,WDA2716,31,15,18,7,,,A
246100000,2020-01-01T00:00:09,24.63638,-84.17574,18.8,292.4,291.0,SUOMIGRACHT,IMO9288057,PHBT,70,0,185,25,10.6,70,A
366709770,2020-01-01T00:00:03,48.52812,-122.74278,15.7,281.1,283.0,WSF CHELAN,IMO7808140,WCX7878,60,0,100,23,5.2,,A
338926425,2020-01-01T00:00:08,30.33894,-88.57885,0.0,240.5,283.0,CG JACOB POROO,,NJPO,90,0,,,,,A
367788350,2020-01-01T00:00:03,40.51053,-73.22883,11.0,236.4,234.0,SEA WATCHER II,IMO9831610,WDJ5509,30,0,,,,,A
367571640,2020-01-01T00:00:06,40.04696,-80.73103,0.0,360.0,511.0,SENECA CHIEF,,WDG7867,31,15,20,,,,A
367493450,2020-01-01T00:00:00,29.62758,-92.27007,4.8,205.9,207.0,ODYSSEA VALOR,IMO9555620,WDF8302,90,0,50,10,3.0,70,A
367057420,2020-01-01T00:00:07,30.00987,-93.97253,0.0,252.4,243.0,JACK ODOM,,WDC6519,31,0,31,10,,,A
367005190,2020-01-01T00:00:11,29.14489,-90.21742,0.0,242.8,511.0,JOHNNY SR,,WTP4938,31,15,22,8,,,A
367401290,2020-01-01T00:00:06,29.37201,-94.84383,10.9,105.3,511.0,GEORGE,,WDE8076,31,0,30,11,,52,A
367711450,2020-01-01T00:00:09,29.73930,-94.08708,5.9,51.3,511.0,CAPT ED,,WDI5723,31,0,20,8,,,A
367431860,2020-01-01T00:00:07,26.71532,-80.04862,0.0,237.4,511.0,TORTUGA,,WDF2785,37,0,,,,90,A
338107888,2020-01-01T00:00:08,32.13553,-81.13945,0.6,25.4,291.0,HAMPTON ROADS,,,90,3,36,9,,,A
367741140,2020-01-01T00:00:03,39.27374,-76.59910,0.0,258.7,25.0,ANDREA,IMO8966717,WDI8687,31,0,28,9,,31,A
367127120,2020-01-01T00:00:10,27.79638,-97.02216,1.3,218.3,511.0,CAPT WICK,,WCZ7147,33,0,0,0,3.5,33,A
367003890,2020-01-01T00:00:08,29.76054,-95.10470,0.1,137.2,511.0,MIKE CHARLEVILLE,,WDC3206,31,0,17,6,,31,A
338118674,2020-01-01T00:00:09,33.72624,-118.26904,0.1,179.8,241.0,BAYWATCH 19,,WZB9310,90,15,,,,,A
367601440,2020-01-01T00:00:05,29.13320,-90.22039,0.1,221.5,351.0,MR ERNIE,IMO9735696,WDH2812,90,0,53,10,,,A
369339000,2020-01-01T00:00:01,33.73357,-118.25168,0.0,251.0,251.0,PRESIDENT KENNEDY,IMO9295218,WPKW,70,0,299,42,11.2,79,A
369980000,2020-01-01T00:00:09,37.78092,-122.25123,0.0,37.0,307.0,USS FORREST SHERMAN,,NFPS,90,0,155,20,,,A
368011000,2020-01-01T00:00:07,47.98258,-122.22902,0.5,316.9,216.0,USS KIDD,,NKID,90,0,,,,,A
316002956,2020-01-01T00:00:05,48.55665,-124.41902,0.4,351.6,511.0,,,,,0,,,,,A
366977480,2020-01-01T00:00:09,30.42869,-91.20360,0.1,231.3,511.0,FLICKER,,WDB9507,31,0,15,7,,52,A
368102010,2020-01-01T00:00:06,41.08739,-72.35857,0.0,145.2,511.0,,,,,15,,,,,A
367579120,2020-01-01T00:00:00,30.10636,-93.30417,0.0,225.3,511.0,TERRY FONTENOT,,WDG8590,31,0,16,7,,31,A
566183000,2020-01-01T00:00:05,25.04784,-79.65103,5.6,194.5,192.0,,,,,0,,,,,A
367441460,2020-01-01T00:00:07,29.36395,-89.30300,0.0,231.8,511.0,CROSBY LADY,,WDF3568,31,0,19,6,,31,A
316002280,2020-01-01T00:00:06,45.41085,-83.18859,13.8,137.6,137.0,,,,,0,,,,,A
368034910,2020-01-01T00:00:06,37.07546,-89.25597,8.5,158.1,511.0,,,,,0,,,,,A
369001000,2020-01-01T00:00:06,47.63537,-122.32948,0.1,292.0,511.0,CAPE FLATTERY,IMO8990964,WDI2129,90,0,56,12,3.4,30,A
367683579,2020-01-01T00:00:06,40.12193,-91.51324,0.0,100.0,511.0,,,,,15,,,,,A
367448570,2020-01-01T00:00:05,29.78665,-95.08274,0.0,226.2,511.0,AMMIE,,WDF8286,31,15,29,9,,52,A
366983010,2020-01-01T00:00:06,29.82059,-93.97202,0.1,254.2,511.0,,,,,0,,,,,A
368029450,2020-01-01T00:00:06,28.93899,-95.33630,0.0,356.5,104.0,,,,,5,,,,,A
367433340,2020-01-01T00:00:05,57.78521,-152.41846,0.0,314.0,240.0,SEA MAC,IMO7308645,WDF2906,30,7,19,6,,,A
316030644,2020-01-01T00:00:11,49.52661,-124.84610,0.0,276.5,60.0,BAYNES SOUND CONNECT,IMO9739252,CFN7319,,3,78,,,,A
367473180,2020-01-01T00:00:11,32.82543,-79.89885,0.0,177.2,511.0,ATLANTIC,IMO8759102,WDF6336,90,15,53,21,2.7,33,A
367544960,2020-01-01T00:00:05,29.77628,-95.10107,0.0,255.5,270.0,THUNDER,,WDG5276,31,0,22,,,,A
538007957,2020-01-01T00:00:03,39.66411,-74.03645,1.8,72.0,79.0,NEPTUNE,IMO7504237,V7II9,99,0,49,10,6.2,99,A
367385550,2020-01-01T00:00:01,47.64587,-122.31186,0.0,0.0,511.0,COHO,,WDE6838,37,,17,5,,,B
366961470,2020-01-01T00:00:06,30.06441,-90.85474,0.0,39.8,300.0,PATRICIA I HART,,WDB8608,31,0,52,15,,,A
366952790,2020-01-01T00:00:04,40.67222,-74.04267,17.6,215.0,215.0,GUY V MOLINARI,IMO9333486,WDB8295,60,0,94,21,4.2,60,A
366990010,2020-01-01T00:00:02,37.84912,-89.74169,0.0,219.7,336.0,SHERYL,,WDC2249,31,0,24,11,,31,A
369970377,2020-01-01T00:00:01,32.38501,-90.90451,0.0,236.2,511.0,SANDERFORD,,AEAL,90,15,,,,31,A
319123900,2020-01-01T00:00:08,26.09874,-80.16357,0.1,238.2,358.0,ALESSANDRA,IMO9331969,ZGHC3,37,3,47,8,2.3,37,A
367627450,2020-01-01T00:00:08,25.78017,-80.18067,0.0,97.4,511.0,GEORGE T MORAN,IMO9764116,WDH5386,31,0,28,11,3.3,,A
370361000,2020-01-01T00:00:01,34.62787,-121.02541,12.3,324.9,322.0,HAGEN,IMO9516868,3ESM8,70,0,147,23,8.2,,A
338149294,2020-01-01T00:00:01,24.56275,-81.80056,0.0,166.3,511.0,WATERFORD,,,37,,28,7,,,B
366951590,2020-01-01T00:00:09,29.31058,-94.79019,0.0,360.0,511.0,CAPT JOHN,,WDB8024,60,0,20,8,,,A
367647050,2020-01-01T00:00:00,30.16001,-91.00152,9.7,86.6,511.0,USS CAIRO,,WDH7325,31,0,20,,,,A
367557080,2020-01-01T00:00:12,29.72592,-90.12193,0.0,360.0,511.0,MISS ELSIE D,,WDG6446,31,0,18,7,,,A
369970622,2020-01-01T00:00:00,30.35745,-81.62000,0.0,297.7,511.0,FLORIDA II,,AEMF,,3,12,,,,A
367780890,2020-01-01T00:00:07,47.64610,-122.32800,0.0,50.7,511.0,ESTIVA,,WDJ4764,37,15,23,,,,A
366948350,2020-01-01T00:00:07,36.83870,-76.29125,0.0,135.0,335.0,CAPT HENRY KNOTT,,WDB7829,31,0,23,9,,52,A
316013215,2020-01-01T00:00:03,45.09330,-83.05853,11.2,160.7,163.0,ALGOCANADA,IMO9378591,CFN5193,80,0,129,19,7.6,89,A
367121010,2020-01-01T00:00:02,46.76918,-92.00262,0.1,42.5,294.0,AMERICAN CENTURY,IMO7923196,WDD2876,70,0,304,32,10.4,,A
367544060,2020-01-01T00:00:00,41.45276,-88.16721,0.0,246.7,347.0,ANN ELISE,,WDG5175,31,0,32,,,,A
367702110,2020-01-01T00:00:01,37.13053,-89.09533,4.3,17.6,19.0,DANIEL W WISE,,WDI4798,31,0,38,13,,,A
367669550,2020-01-01T00:00:02,51.70673,-178.22307,7.1,92.9,511.0,ALASKA CHALLENGER,IMO7938024,WDH9586,30,1,30,7,,30,A
367360430,2020-01-01T00:00:04,32.70476,-117.16302,0.0,109.6,233.0,SILVERGATE,,WDE4978,60,0,17,6,,,A
367604950,2020-01-01T00:00:06,36.96490,-89.09487,0.0,237.5,511.0,BARRY KELLEY,,WDH3166,31,15,14,,,,A
367327970,2020-01-01T00:00:06,35.10431,-90.08476,0.0,259.0,272.0,THOMAS GOLDING,,WDE2661,31,12,33,9,,57,A
367709190,2020-01-01T00:00:05,29.69271,-89.96864,0.0,224.4,149.0,SUSANNAH V GRIFFIN,,WDI5498,31,12,22,,,,A
366710820,2020-01-01T00:00:05,47.60289,-122.34012,0.2,61.6,89.0,WSF SEALTH,IMO7808152,WAK7089,60,0,100,23,5.2,,A
367427270,2020-01-01T00:00:00,27.82405,-97.43859,0.6,103.0,103.0,MISS KELLY,,WDF2315,31,15,26,9,,31,A
367693210,2020-01-01T00:00:07,31.15615,-81.49971,0.0,201.2,511.0,AFTERMATH,,WDI3910,37,,14,5,,,B
366972410,2020-01-01T00:00:10,29.78140,-95.09923,0.0,242.4,511.0,D W GILLIS,,WCP9623,31,15,12,5,,,A
367400740,2020-01-01T00:00:11,30.38713,-81.53982,10.1,87.4,511.0,CATHLEEN E MORAN,IMO6608684,WDE8034,31,0,31,8,4.7,31,A
367003790,2020-01-01T00:00:09,29.58047,-90.71604,0.4,360.0,511.0,FRANCIS C SETTOON,,WDD4746,31,15,15,6,,,A
353479000,2020-01-01T00:00:07,27.38841,-79.77105,7.5,113.3,128.0,CARNIVAL ECSTASY,IMO8711344,H3GR,60,0,260,31,7.8,,A
367587010,2020-01-01T00:00:08,30.42949,-91.20169,0.1,223.6,511.0,JACKSON MCKINNEY,,WDG9363,31,0,15,7,,52,A
367690570,2020-01-01T00:00:07,30.99905,-91.66464,0.0,269.5,242.0,MARK M,,WDI3657,31,0,30,,,,A
368063460,2020-01-01T00:00:07,30.01910,-93.98070,0.0,201.6,511.0,,,,,0,,,,,A
368064130,2020-01-01T00:00:07,29.77304,-95.10156,0.0,101.8,511.0,,,,,0,,,,,A
368018310,2020-01-01T00:00:06,30.09955,-86.84743,8.0,114.6,511.0,,,,,8,,,,,A
368018850,2020-01-01T00:00:07,40.64286,-80.41397,0.0,360.0,511.0,,,,,15,,,,,A
367387160,2020-01-01T00:00:08,38.17976,-85.90066,0.0,221.4,511.0,,,,,15,,,,,A
368062860,2020-01-01T00:00:07,47.92266,-122.68862,0.0,349.2,511.0,,,,,2,,,,,A
368104310,2020-01-01T00:00:06,29.36516,-94.89235,0.0,46.9,251.0,,,,,0,,,,,A
368061770,2020-01-01T00:00:06,32.98506,-79.61782,4.8,225.5,511.0,,,,,0,,,,,A
339659000,2020-01-01T00:00:06,18.43500,-64.75833,0.3,177.0,77.0,,,,,0,,,,,A
548986000,2020-01-01T00:00:05,24.81322,-87.29838,14.6,327.3,330.0,,,,,0,,,,,A
368052580,2020-01-01T00:00:05,30.02255,-93.98236,0.0,204.3,133.0,,,,,12,,,,,A
367118440,2020-01-01T00:00:02,37.04883,-88.42613,0.0,320.4,70.0,CAPT JOHNNY COE,IMO5238224,WDD2677,31,0,44,10,,31,A
636092675,2020-01-01T00:00:08,19.10409,-67.77936,13.7,293.1,294.0,NORDIC MALMOE,IMO9602679,D5KK8,70,0,180,30,10.8,,A
367643790,2020-01-01T00:00:12,26.08187,-80.11626,0.0,247.3,511.0,TATE MCALLISTER,IMO9743461,WDH7005,31,0,28,11,,,A
367015670,2020-01-01T00:00:05,41.63585,-70.90717,0.0,256.9,511.0,RAINBOW,IMO8987345,WDC3878,31,0,26,9,,52,A
367721010,2020-01-01T00:00:05,40.12125,-79.86534,0.3,262.8,511.0,MARY ROSE,,WDI6668,31,0,21,,,,A
319003900,2020-01-01T00:00:00,26.06047,-80.13119,0.0,357.1,1.0,UNBRIDLED,IMO9526318,ZCXS6,37,5,58,10,2.7,,A
366935390,2020-01-01T00:00:02,41.64230,-87.47142,0.0,237.3,511.0,MARY BURKE LILES,IMO8971085,WCY8041,31,12,27,9,,,A
366978440,2020-01-01T00:00:02,46.75386,-92.09402,0.0,307.1,511.0,MISSOURI,,WAI9279,31,0,26,7,,52,A
367532850,2020-01-01T00:00:07,31.25992,-91.59145,10.5,278.1,511.0,CAMILLE B BARRETT,IMO8836663,WDG4089,31,0,59,16,,,A
366744020,2020-01-01T00:00:01,33.22434,-78.10484,9.2,60.5,63.0,MARY ALICE,IMO7402738,WCX9570,31,11,30,8,3.6,,A
246506000,2020-01-01T00:00:06,18.51715,-65.70062,15.7,102.0,102.0,VEENDAM,IMO9102992,PHEO,60,5,219,30,7.7,69,A
636017519,2020-01-01T00:00:12,29.94025,-90.36273,0.0,281.6,288.0,PORT ORIENT,IMO9735103,D5LI8,70,5,199,,,,A
246244000,2020-01-01T00:00:06,29.73202,-95.27597,0.0,344.0,344.0,ROLLDOCK SEA,IMO9404704,PBPF,70,5,140,24,5.6,,A
367474720,2020-01-01T00:00:12,29.84982,-89.98365,0.0,14.0,511.0,MOOSE,,WDF6482,31,15,17,7,,,A
367331150,2020-01-01T00:00:05,33.80862,-91.02101,0.0,237.4,511.0,BROTHER WILSON,,WDE2902,31,0,38,13,,31,A
368031660,2020-01-01T00:00:07,39.89734,-75.21209,0.0,247.9,151.0,JOKER,IMO8969317,WDK2018,12,0,24,8,0.0,12,A
367002050,2020-01-01T00:00:12,29.82409,-93.63414,0.0,0.0,511.0,CAPTAIN EDDIE,,WDC3053,31,0,19,7,,52,A
367425680,2020-01-01T00:00:02,42.34970,-71.03841,0.0,14.6,511.0,BLACK BEAUTY,IMO8037724,WDF2175,30,,19,6,,,B
366884240,2020-01-01T00:00:06,27.93340,-82.43387,0.0,253.0,511.0,ENDEAVOR,IMO9237905,WDB3177,31,15,26,15,1.6,,A
367303080,2020-01-01T00:00:10,29.73004,-95.02457,0.0,194.7,511.0,MICHELE GONSOULIN,,WDD8813,31,0,22,8,,,A
367456880,2020-01-01T00:00:10,38.94146,-90.34705,4.5,305.5,511.0,LUKE BURTON,IMO7318913,WDF4886,31,0,43,10,,31,A
367744570,2020-01-01T00:00:09,37.08332,-89.15985,0.0,341.0,35.0,TIM CULP,,WDI9029,31,15,,,,,A
367701380,2020-01-01T00:00:13,29.64235,-91.36145,6.1,96.0,91.0,ST PHILLIP,,WDI4731,31,0,23,,,,A
367477410,2020-01-01T00:00:00,39.25929,-74.99115,0.0,360.0,511.0,VISION,IMO8990976,WDF6746,90,0,17,7,,,A
316005175,2020-01-01T00:00:00,48.41456,-123.38655,0.0,296.2,511.0,PACIFIC PILOT TWO,,CG2436,0,0,18,5,2.3,0,A
367053620,2020-01-01T00:00:06,29.56838,-89.79110,20.1,122.5,511.0,MISS EFFIE,,WYR3654,60,0,13,4,,,A
366760650,2020-01-01T00:00:02,33.75277,-118.22150,0.1,234.4,75.0,LEADER,IMO9188568,WCY8495,31,0,31,10,4.3,52,A
367169320,2020-01-01T00:00:04,38.85198,-90.11237,0.0,248.0,511.0,PAT PICKETT,,WDD6184,31,0,22,8,,,A
367649630,2020-01-01T00:00:05,41.72451,-87.53999,0.0,0.0,511.0,MASSACHUSETTS,,WDH7590,31,15,24,6,,,A
367598830,2020-01-01T00:00:13,26.21349,-80.04214,6.6,6.9,511.0,LADY JOYELLE,,WDH2555,31,0,20,,,,A
366954170,2020-01-01T00:00:09,29.86585,-89.93284,0.0,78.9,511.0,OLGA G STONE,,WBS3207,31,15,18,7,,,A
369342000,2020-01-01T00:00:07,29.64343,-91.10271,0.0,158.7,511.0,PRIDE,,WDJ9627,79,0,31,7,2.7,79,A
366940480,2020-01-01T00:00:08,51.86152,-176.63798,0.1,74.7,176.0,EARLY DAWN,IMO7821130,WDB7319,30,7,32,8,4.0,,A
369881100,2020-01-01T00:00:05,29.05211,-90.09995,3.5,189.0,182.0,,,,,15,,,,,A
367788560,2020-01-01T00:00:15,46.20734,-123.38736,0.0,98.1,511.0,MARK O HATFIELD,,WDJ5531,54,,,,,,B
